sku_id,echelon_type,lead_time,service_level,RMSE,MAE,MAPE (%),Bias,WAPE (%),n_samples,std_dev_ss,rmse_ss,mae_ss,hybrid_with_no_var_ss,hybrid_with_var_ss,ml_ss,Selected_method
SKU_1,DC,6,0.98,21.11,15.17,320859232292.6,-0.1,49.49,1641,,,,,,,Rule-based SS
SKU_1,Store,6,0.98,21.96,14.93,289695307847.15,6.97,58.44,1641,,,,,,,Rule-based SS
SKU_1,WH,9,0.98,27.86,18.79,263162705836.89,12.28,73.24,1641,,,,,,,Rule-based SS
SKU_2,DC,19,0.98,20.65,12.75,106020719154.47,5.88,45.95,1641,,,,,,,Rule-based SS
SKU_2,Store,12,0.9,27.37,17.94,686142596112.72,12.41,73.11,1641,,,,,,,Rule-based SS
SKU_2,WH,10,0.98,21.54,13.49,137093235897.45,-3.61,45.29,1641,,,,,,,Rule-based SS
SKU_3,DC,10,0.98,18.25,12.84,340694698452.79,-2.2,44.78,1641,,,,,,,Rule-based SS
SKU_3,Store,8,0.95,25.25,14.13,17068860496.06,-1.53,38.31,1641,,,,,,,Rule-based SS
SKU_3,WH,17,0.9,22.15,14.02,42078001262.2,-0.49,37.34,1641,,,,,,,Rule-based SS
SKU_4,DC,18,0.95,23.44,15.79,45795246869.18,0.61,49.98,1641,,,,,,,Rule-based SS
SKU_4,Store,18,0.9,23.56,15.38,167154174354.58,7.91,52.57,1641,,,,,,,Rule-based SS
SKU_4,WH,8,0.95,18.88,11.87,128921389467.27,1.71,43.4,1641,,,,,,,Rule-based SS
SKU_5,DC,8,0.98,22.05,16.53,63924436405.61,5.85,57.42,1641,,,,,,,Rule-based SS
SKU_5,Store,19,0.98,27.52,17.69,90633759964.73,-11.17,44.08,1641,,,,,,,Rule-based SS
SKU_5,WH,14,0.9,26.34,19.91,702199878302.32,17.09,93.89,1641,,,,,,,Rule-based SS
